仓储管理是指对仓储设施布局和设计以及仓储作业所进行的计划、组织、协调和控制。,仓储设施布局和设计 仓储作业 计划 组织 协调 控制,10
入库作业计划是指仓库部门根据本部门和存货人等实际情况，权衡存货人的需求和仓库存储的可能性，通过预测提出在未来一定时期内仓库要达到的目标和实现方法。,仓库部门 本部门 存货人 实际情况 权衡 存货人需求 仓库存储 可能性 预测 未来一定时期内 仓库 目标 实现方法,10
仓储管理的内容：仓库的选址与建设、仓库机械设备的选择与配置、仓库业务管理、仓库的库存控制管理、人力资源管理,仓库的选址与建设 仓库机械设备的选择与配置 仓库业务管理 仓库的库存控制管理 人力资源管理,10
物流信息系统按物流环节分类：分为仓库管理系统、出库作业系统、配送管理系统和运输管理系统。,仓库管理系统 出库作业系统 配送管理系统 运输管理系统,10
配送的种类按配送节点不同，可分为仓库配送、商店配送、配送中心配送。,仓库配送 商店配送 配送中心配送,10
物流信息按管理层次的划分：操作管理信息、知识管理信息、战术管理信息和战略管理信息；,操作管理信息 知识管理信息 战术管理信息 战略管理信息,10
物流信息系统按系统功能性质分类：分为操作型系统和决策型系统。,操作型系统 决策性系统,10
呆废货品率：用来测定配送中心货品损耗影响资金积压的状况。,测定 配送中心 货品损耗 影响 资金积压 状况,10
在库作业准备包括四个部分：查验进货账卡，熟悉物品特性，制定物品储存方法，做好储存准备工作。,查验进货账卡 熟悉物品特性 制定物品储存方法 做好储存准备工作,10
接运卸货一共分为以下情况：场站接货、专用线接车、仓库自行接货、库内接货。,场站接货 专用线接车 仓库自行接货 库内接货,10
GPS在物流运作中的应用：车辆跟踪、提供出行路线规划和导航、信息查询  、话务指挥 、紧急援助 。,车辆跟踪 提供出行路线规划和导航 信息查询 话务指挥 紧急援助,10
安排车辆时应该考虑以下因素：车辆品牌的选择； 车辆吨位的选择 ；车辆容积的选择 ；车况的选择 ； 车辆货箱形式的选择 ;；综合因素的考虑,车辆品牌的选择 车辆吨位的选择 车辆容积的选择 车况的选择 车辆货箱形式的选择 综合因素的考虑,10
轴荷也称轴负荷、轴载质量，就是车轴所承受的载荷，也即汽车各轴对地面的垂直荷载。,车轴 承受 载荷,10
成组堆码：指采用成组工具现将物品组成一组、使其堆存单元扩大，从而可以用装卸机械成组搬运、装卸。,成组工具 物品 组成一组 堆存单元 扩大 装卸机械 成组 搬运 装卸,10
转运中心的主要工作是承担物品在不同运输方式之间的转运。,承担 物品 不同运输方式 转运,10
承诺的撤回指承诺人阻止承诺发生法律效力的一种意思表示。,承诺人 阻止 承诺发生法律效力 意思表示,10
运输合同是承运人将旅客或货物从起运点运输到约定地点，旅客、托运人或者收货人支付票款或者运输费用的合同。,承运人 旅客 货物 起运点 运输 约定地点 旅客 托运人 收货人 支付票款 运输费用,10
运输合同的主体：承运人；旅客；托运人；收货人。,承运人 旅客 托运人 收货人,10
出库作业流程包括以下作业环节：出库凭证审核、出库准备、出库验收、出库点交与销账、装载上车、发运、清理等。 ,出库凭证审核 出库准备 出库验收 出库点交与销账 装载上车 发运 清理,10
储调中心以储备为主要工作内容，其功能与传统仓库基本一致。,储备 功能 传统仓库 基本一致,10
根据仓库的主要功能不同可分为：储备库和物流库。,储备库 物流库,10
现代信息技术主要包括：传感技术、计算机技术、通信技术、网络技术。,传感技术 计算机技术 通信技术 网络技术,10
库存是指储存作为今后按预定的目的使用而处于闲置或非生产状态的物品。,存储 按预定的目的使用 处于闲置 非生产状态 物品,10
储备库主要的功能是储存和保管物资，这也是仓库的最传统、最基本的功能。,存储 保管物资 仓库 传统 基本 功能,10
专用型保税仓库：保税仓库中专门用来存储具有特定用途或特殊种类商品的仓库。,存储 特定用途 特殊种类 商品 仓库,10
缺货成本指因存货不足而造成的损失。若不容许缺货，则缺货成本为零。,存货不足 损失 不容许缺货 取货成本为零,10
入库作业计划是存货人发货和仓库部门入库前准备的依据。,存货人发货 仓库部门 入库前准备 依据,10
入库申请的流程是存货人提出申请，仓储企业做出评估，拒绝则不予收货，接受则通知存货人并制定入库计划。,存货人提出申请 仓储企业作出评估 拒绝则不予收货 接受则通知存货人并制定入库计划,10
将大批量运到的物品分成批量较小的物品称为分货。,大批量 物品 批量较小 ,10
地面型仓库一般是指单层地面库，多实用非货架型的保管设备。,单层地面库 实用 非货架型 保管设备,10
物流信息系统按系统配置分类：分为单机系统和计算机网络系统。,单机系统 计算机网络系统,10
物品出库时的“五检查”指的是：对单据和实物要进行品名检查、规格检查、包装检查、数量检查、重量检查。,单据 实物 品名检查 规格检查 包装检查 数量检查 重量检查,10
GPS根据接收机的频率分类：单频接收机和双频接受机。,单频接收机 双频接收机,10
条码密度：是指单位长度条码所表示条码字符的个数。,单位长度条码 条码字符 个数,10
配货作业的主要形式包括 ：单一配货作业、集中配货作业,单一配货作业 集中配货作业,10
运输合同的分类以承运人的多少为标准，分为单一运输合同和联合运输合同。,单一运输合同 联合运输合同,10
GPS根据接收机的用途分类：导航式接收机、测地型接收机、授时型接收机。,导航式接收机 测地型接收机 授时型接收机,10
地理数据：是用来描述地球表面所有要素或物质（地理实体）的数量、质量、分布特征、联系和规律信息的数字、文字、图像、图形和声音等符号的总称。,地球表面 要素 物质 数量 质量 分布特征 联系 规律信息 数字 文字 图像 图形 声音 符号 总称,10
地理信息的特性：地域性、多维性、动态性。,地域性 多维性 动态性,10
射频识别技术：基本原理是电磁理论，是一种非接触式的自动识别技术。,电磁理论 非接触式 自动识别技术,10
定量库存控制法也称为订购点法，是以固定订购点和订购批量为基础的一种库存量控制方法。,订购点法 固定订购点和订购批量 基础 库存量控制方法,10
周转库存：指因订货以每次一批的方式进行时形成的周期性库存。,订货 每次一批 周期性库存,10
库存成本的构成：订货成本、保管成本、缺货成本、进货成本与购买成本、固定成本和变动成本。,订货成本 保管成本 缺货成本 进货成本与购买成本 固定成本和变动成本,10
盘点：是指定期或临时对库存物品的实际数量清查、清点的作业。,定期 临时 库存物品 实际数量 清查 清点 作业,10
盘点方式包括：定期盘点和临时盘点。,定期盘点 临时盘点,10
运输市场按时间要求可分为定期运输市场、不定期运输市场、快捷运输市场等。,定期运输市场 不定期运输市场 快捷运输市场,10
配送的种类按配送时间和商品数量，分为定时配送、定量配送、定时定量配送、定时定路线配送、即时配送。,定时配送 定量配送 定时定量配送 定时定路线配送 即时配送,10
仓储管理的对象是库存物品，仓储管理是在库物品保管的方法和措施的总和。,对象 库存物品 在库物品保管 方法 措施 总和,10
货架型仓库指采用多层货架保管的仓库。货架上放着物品和托盘，物品和托盘可在货架上滑动。,多层货架保管 货架 物品 托盘 滑动,10
GPS根据接收机所具有的通道种类：可分为多通道接收机、序贯通道接收机和多路多用通道接收机。 ,多通道接收机 序贯通道接收机 多路多用通道接收机,10
综合库是用于存放多种不同属性物品的仓库。,多种 不同属性 物品 仓库,10
物品出库时的“三核”指的是：在发货时，要核对凭证、核对账卡、核对实物。,发货 核对凭证 核对账卡 核对实物,10
数据：是人们用来反映客观事物而记录下来的可以鉴别的符号，是客观事物的基本表达。,反映 客观事物 记录 可以鉴别 符号 客观事物 基本表达,10
物流信息：是指反映物流各种活动内容的知识、资料、图像、数据、文件的总称。,反映 物流各种活动内容 知识 资料 图像 数据 文件 总称,10
栅格格式：使用方格来模拟实体。,方格 模拟 实体,10
航空货物运输，是指利用飞机或飞行器进行运输的一种运输形式。,飞机 飞行器 运输 运输形式,10
无线射频识别技术：是一种非接触的自动识别技术，其基本原理是利用射频信号和空间耦合（电感或者电磁耦合）传输特性，实现对被识别物体的自动识别。,非接触 自动识别技术 射频信号 空间耦合 传输特性 被识别物体 自动识别,10
分货中心是主要从事分货工作的物流据点。,分货 物流据点,10
配货作业的基本流程：分类；配货检查；包装、打捆,分类 配货检查 包装 打捆,10
散装作业：是指对粉末状物品及大批不适宜包装的散货进行的装卸搬运活动。,粉末状物品 大批 不适宜包装 散货 装卸 搬运,10
液体危险品保税仓库，是指符合国家关于危险化学品仓储规定的，专门提供石油、成品油或者其它散装液体危险化学品保税仓储服务的保税仓库。,符合 危险化学品仓储 规定 提供 石油 成品油 其他散装液体危险化学品,10
运输方式按运输范畴分类：干线运输；支线运输；二次运输；厂内运输。,干线运输 支线运输 二次运输 厂内运输,10
GPS系统特点：高精度、全天候、高效率、多功能、操作简便、应用广泛等。,高精度 全天候 高效率 多功能 操作简便 应用广泛,10
拣选作业是根据出库信息或订单， 将顾客订购的物品从保管区或拣货区取出，也可以直接在进货过程中取出，并运至配货区的作业过程。 ,根据 出库信息 订单 顾客订购 物品 保管区 拣货区 取出 进货过程 取出 运至配货区 作业工程,10
GPS的主要功能：跟踪车辆、船舶、信息传递和查询、及时报警、支持管理。,跟踪车辆 船舶 信息传递和查询 及时报警 支持管理,10
零担货物运输可以分为公路零担、铁路零担、航空零担三种。,公路零担 铁路零担 航空零担,10
运输方式按运输设备及运输工具分类：公路运输；铁路运输；水路运输；航空运输；,公路运输 铁路运输 水路运输 航空运输,10
网络GPS的特点：功能多，精度高，覆盖广，定位速度快，信息传输有保密性高。,功能多 精度高 覆盖广 定位速度快 信息传输 保密性高,10
