垛牌：为了保管及时掌握物品资料，需要在或多上挂有过关该垛物品的资料标签。,保管及时 掌握物品资料 过关 物品 资料标签,10,垛牌|：|为了|保管|及时|掌握|物品|资料|，|需要|在|或多|上|挂|有|过|关|该垛|物品|的|资料|标签|。,n|w|p|v|ad|v|n|n|w|v|p|d|v|v|v|u|v|r|n|u|n|n|w|w,保管|及时| |掌握|物品|资料| |过关| |物品| |资料|标签,v|a|w|v|n|n|w|v|w|n|w|n|n|w
保温、冷藏、恒湿恒温库是用于存放要求保温、冷藏或恒湿恒温的物品的仓库。,保温 冷藏 恒湿恒温 物品 仓库,10,保温|、|冷藏|、|恒湿恒温库|是|用于|存放|要求|保温|、|冷藏|或|恒湿|恒温|的|物品|的|仓库|。,vn|w|vn|w|nz|v|v|v|v|vn|w|v|c|a|a|u|n|u|n|w|w,保温| |冷藏| |恒湿|恒温| |物品| |仓库,vn|w|vn|w|a|a|w|n|w|n|w
库存控制是指在保障供应的前提下，使库存物品的数量合理所进行的有效管理的技术经济措施。,保障供应 库存物品 数量合理 有效管理 技术经济措施,10,库存|控制|是|指|在|保障|供应|的|前提|下|，|使|库存|物品|的|数量|合理|所|进行|的|有效|管理|的|技术|经济|措施|。,vn|vn|v|v|p|v|vn|u|n|f|w|v|vn|n|u|n|a|u|v|u|a|vn|u|n|n|n|w|w,保障|供应| |库存|物品| |数量|合理| |有效|管理| |技术|经济|措施,vn|vn|w|vn|n|w|n|a|w|a|vn|w|n|n|n|w
库存控制是在保障供应的前提下，是库存物品的数量最少而进行有效的技术经济措施。,保障供应 前提 库存物品 数量最少 有效 技术经济措施,10,库存|控制|是|在|保障|供应|的|前提|下|，|是|库存|物品|的|数量|最少|而|进行|有效|的|技术|经济|措施|。,vn|vn|v|p|v|vn|u|n|f|w|v|vn|n|u|n|a|c|v|a|u|n|n|n|w|w,保障|供应| |前提| |库存|物品| |数量|最少| |有效| |技术|经济|措施,vn|vn|w|n|w|vn|n|w|n|a|w|a|w|n|n|n|w
盘点是保证账、物、卡相符的重要措施之一。,保证 账 物 卡 相符 重要措施 之一,10,盘点|是|保证|账|、|物|、|卡|相符|的|重要|措施|之|一|。,vn|v|v|n|w|n|w|n|v|u|a|n|u|m|w|w,保证| |账| |物| |卡| |相符| |重要|措施| |之|一,v|w|n|w|n|w|n|w|v|w|a|n|w|u|m|w
代码：用来标识物品的一个或一组有序的符号。代码必须具备鉴别功能。,标识 物品 一个 一组 有序的符号 鉴别功能,10,代码|：|用来|标识|物品|的|一个|或|一组|有序|的|符号|。|代码|必须|具备|鉴别|功能|。,n|w|v|n|n|u|m|c|m|a|u|n|w|n|d|v|vn|n|w|w,标识| |物品| |一个| |一组| |有序|的|符号| |鉴别|功能,n|w|n|w|m|w|m|w|a|u|n|w|vn|n|w
物品损耗标准包括：标准损耗率、保管损耗率。,标准损耗率 保管损耗率,10,物品|损耗|标准|包括|：|标准损耗率|、|保管|损耗率|。,n|vn|n|v|w|nz|w|v|n|w|w,标准损耗率| |保管|损耗率,nz|w|v|n|w
物流信息的特征：标准性，分布性，复杂性，动态性。,标准性 分布性 复杂性 动态性,10,物流|信息|的|特征|：|标准性|，|分布性|，|复杂性|，|动态性|。,n|n|u|n|w|n|w|n|w|n|w|n|w|w,标准性| |分布性| |复杂性| |动态性,n|w|n|w|n|w|n|w
GIS 的主要作用：将表格型数据转换为地理图形显示，然后对显示结果浏览、操作和分析。,表格型数据 地理图形 浏览 操作 分析,10,GIS| |的|主要|作用|：|将|表|格型|数据|转换|为|地理|图形|显示|，|然后|对|显示|结果|浏览|、|操作|和|分析|。,nz|w|u|a|n|w|p|n|n|n|v|v|n|n|v|w|c|p|vn|n|v|w|vn|c|vn|w|w,表|格型|数据| |地理|图形| |浏览| |操作| |分析,n|n|n|w|n|n|w|v|w|vn|w|vn|w
货物运输保险的目的在于补偿被保险货物在运输过程中因自然灾害或者意外事故所造成的经济损失，以加强对运输货物的安全防损工作。,补偿 被保险货物 运输过程 自然灾害 意外事故 经济损失 加强 运输货物 安全防损,10,货物|运输|保险|的|目的|在于|补偿|被|保险|货物|在|运输|过程|中|因|自然灾害|或者|意外事故|所|造成|的|经济损失|，|以|加强|对|运输|货物|的|安全|防损|工作|。,n|vn|n|u|n|v|vn|p|n|n|p|vn|n|f|p|n|c|n|u|v|u|n|w|p|v|p|vn|n|u|an|vn|n|w|w,补偿| |被|保险|货物| |运输|过程| |自然灾害| |意外事故| |经济损失| |加强| |运输|货物| |安全|防损,vn|w|p|n|n|w|vn|n|w|n|w|n|w|n|w|v|w|vn|n|w|an|v|w
直达转运，是指物品不经过卸车入库等环节，留在运输工具上直接送到货主手中。,不经过 卸车入库 运输工具 送到货主,10,直达|转运|，|是|指|物品|不|经过|卸车|入库|等|环节|，|留在|运输工具|上|直接|送到|货主|手中|。,v|vn|w|v|v|n|d|v|vn|vn|u|n|w|v|n|f|ad|v|n|s|w|w,不|经过| |卸车|入库| |运输工具| |送到|货主,d|v|w|v|v|w|n|w|v|n|w
物品的养护作业：指对不同物品保护、保养、质量控制的活动。,不同物品 保护 保养 质量控制 活动,10,物品|的|养护|作业|：|指|对|不同|物品|保护|、|保养|、|质量控制|的|活动|。,n|u|vn|n|w|v|p|a|n|vn|w|vn|w|vn|u|n|w|w,不同|物品| |保护| |保养| |质量控制| |活动,a|n|w|v|w|vn|w|vn|w|n|w
GIS 数据建立过程：采集、存储、查询、分析、显示和输出。,采集 存储 查询 分析 显示 输出,10,GIS| |数据|建立|过程|：|采集|、|存储|、|查询|、|分析|、|显示|和|输出|。,nz|w|n|vn|n|w|v|w|vn|w|vn|w|vn|w|v|c|vn|w|w,采集| |存储| |查询| |分析| |显示| |输出,vn|w|vn|w|vn|w|vn|w|v|w|vn|w
物品出库作业：它是仓储经营人根据存货人或仓单持有人所持有的仓单，按其所列物品的编号、名称、规格、型号、数量等项目，组织物品出库的一系列活动。,仓储经营人 存货人 仓单持有人 仓单 物品 编号 名称 规格 型号 数量 项目 组织物品出库 一系列活动,10,物品|出库|作业|：|它|是|仓储|经营|人|根据|存货|人|或|仓单|持|有人|所|持有|的|仓单|，|按|其|所|列|物品|的|编号|、|名称|、|规格|、|型号|、|数量|等|项目|，|组织|物品|出库|的|一系列|活动|。,n|vn|n|w|r|v|vn|vn|n|p|n|n|c|n|v|r|u|v|u|n|w|p|r|u|v|n|u|n|w|n|w|n|w|n|w|n|u|n|w|v|n|v|u|a|n|w|w,仓储|经营|人| |存货|人| |仓单|持有人| |仓单| |物品| |编号| |名称| |规格| |型号| |数量| |项目| |组织|物品|出库| |一系列|活动,vn|vn|n|w|n|n|w|n|n|w|n|w|n|w|n|w|n|w|n|w|n|w|n|w|n|w|v|n|v|w|a|n|w
库内接货是指仓储企业在仓库内接到存货委托人送来的物品。,仓储企业 仓库内 存货委托人 送来的物品,10,库|内|接货|是|指|仓储|企业|在|仓库|内|接到|存货|委托人|送来|的|物品|。,n|f|vn|v|v|vn|n|p|n|f|v|n|n|v|u|n|w|w,仓储|企业| |仓库|内| |存货|委托人| |送来|的|物品,vn|n|w|n|f|w|n|n|w|v|u|n|w
场站接货：一般指仓储企业受存货人委托或合同约束到车站、码头接运物品到储运地。一般零担托运和小批量物品采用此方法。,仓储企业 存货人委托 合同约束 车站 码头 接运物品到储运地 零担托运 小批量物品,10,场站|接货|：|一般|指|仓储|企业|受|存货|人|委托|或|合同|约束|到|车站|、|码头|接|运|物品|到|储运|地|。|一般|零担托运|和|小批量|物品|采用|此|方法|。,n|vn|w|ad|v|vn|n|v|n|n|v|c|n|v|v|n|w|n|v|v|n|v|vn|n|w|a|nz|c|n|n|v|r|n|w|w,仓储|企业| |存货|人|委托| |合同|约束| |车站| |码头| |接|运|物品|到|储运|地| |零担托运| |小批量|物品,vn|n|w|n|n|v|w|n|vn|w|n|w|n|w|v|v|n|v|vn|n|w|nz|w|n|n|w
仓库自行接货是指仓储企业直接到存货委托人指定的企业接货的一种方式。,仓储企业 直接 存货委托人指定 企业接货,10,仓库|自行|接货|是|指|仓储|企业|直接|到|存货|委托人|指定|的|企业|接货|的|一种|方式|。,n|d|v|v|v|vn|n|ad|v|n|n|v|u|n|v|u|m|n|w|w,仓储|企业| |直接| |存货|委托人|指定| |企业|接货,vn|n|w|a|w|n|n|v|w|n|v|w
仓储管理是指对仓储设施布局和设计以及仓储作业所进行的计划、组织、协调和控制。,仓储设施布局和设计 仓储作业 计划 组织 协调 控制,10,仓储|管理|是|指|对|仓储|设施|布局|和|设计|以及|仓储|作业|所|进行|的|计划|、|组织|、|协调|和|控制|。,vn|vn|v|v|p|vn|n|n|c|vn|c|vn|n|u|v|u|n|w|n|w|vn|c|v|w|w,仓储|设施|布局|和|设计| |仓储|作业| |计划| |组织| |协调| |控制,vn|n|n|c|vn|w|vn|n|w|n|w|n|w|vn|w|vn|w
入库作业计划是指仓库部门根据本部门和存货人等实际情况，权衡存货人的需求和仓库存储的可能性，通过预测提出在未来一定时期内仓库要达到的目标和实现方法。,仓库部门 本部门 存货人 实际情况 权衡 存货人需求 仓库存储 可能性 预测 未来一定时期内 仓库 目标 实现方法,10,入库|作业|计划|是|指|仓库|部门|根据|本|部门|和|存货人|等|实际|情况|，|权衡|存货人|的|需求|和|仓库|存储|的|可能性|，|通过|预测|提出|在|未来|一定|时期|内|仓库|要|达到|的|目标|和|实现|方法|。,vn|vn|n|v|v|n|n|p|r|n|c|n|u|a|n|w|v|n|u|n|c|n|vn|u|n|w|p|vn|v|p|t|a|n|f|n|v|v|u|n|c|vn|n|w|w,仓库|部门| |本|部门| |存货|人| |实际|情况| |权衡| |存货人|需求| |仓库|存储| |可能性| |预测| |未来|一定|时期|内| |仓库| |目标| |实现|方法,n|n|w|r|n|w|n|n|w|a|n|w|v|w|n|n|w|n|vn|w|n|w|vn|w|t|a|n|f|w|n|w|n|w|v|n|w
仓储管理的内容：仓库的选址与建设、仓库机械设备的选择与配置、仓库业务管理、仓库的库存控制管理、人力资源管理,仓库的选址与建设 仓库机械设备的选择与配置 仓库业务管理 仓库的库存控制管理 人力资源管理,10,仓储|管理|的|内容|：|仓库|的|选址|与|建设|、|仓库|机械|设备|的|选择|与|配置|、|仓库|业务|管理|、|仓库|的|库存|控制|管理|、|人力资源|管理,vn|vn|u|n|w|n|u|vn|c|vn|w|n|n|n|u|vn|c|vn|w|n|n|vn|w|n|u|n|vn|vn|w|n|vn|w,仓库|的|选址|与|建设| |仓库|机械|设备|的|选择|与|配置| |仓库|业务|管理| |仓库|的|库存|控制|管理| |人力资源|管理,n|u|vn|c|vn|w|n|n|n|u|vn|c|vn|w|n|n|vn|w|n|u|n|vn|vn|w|n|vn|w
物流信息系统按物流环节分类：分为仓库管理系统、出库作业系统、配送管理系统和运输管理系统。,仓库管理系统 出库作业系统 配送管理系统 运输管理系统,10,物流|信息系统|按|物流|环节|分类|：|分为|仓库|管理|系统|、|出库|作业|系统|、|配送|管理|系统|和|运输|管理|系统|。,n|n|p|n|n|vn|w|v|n|vn|n|w|v|vn|n|w|vn|vn|n|c|vn|vn|n|w|w,仓库|管理|系统| |出库|作业|系统| |配送|管理|系统| |运输|管理|系统,n|vn|n|w|v|vn|n|w|vn|vn|n|w|vn|vn|n|w
配送的种类按配送节点不同，可分为仓库配送、商店配送、配送中心配送。,仓库配送 商店配送 配送中心配送,10,配送|的|种类|按|配送|节点|不同|，|可|分为|仓库|配送|、|商店|配送|、|配送|中心|配送|。,v|u|n|p|vn|n|a|w|v|v|n|v|w|n|v|w|vn|n|v|w|w,仓库|配送| |商店|配送| |配送|中心|配送,n|v|w|n|v|w|vn|n|v|w
物流信息按管理层次的划分：操作管理信息、知识管理信息、战术管理信息和战略管理信息；,操作管理信息 知识管理信息 战术管理信息 战略管理信息,10,物流|信息|按|管理|层次|的|划分|：|操作|管理|信息|、|知识|管理|信息|、|战术|管理|信息|和|战略|管理|信息|；,n|n|p|vn|n|u|vn|w|vn|vn|n|w|n|vn|n|w|n|vn|n|c|n|vn|n|w|w,操作|管理|信息| |知识|管理|信息| |战术|管理|信息| |战略|管理|信息,vn|vn|n|w|n|vn|n|w|n|vn|n|w|n|vn|n|w
物流信息系统按系统功能性质分类：分为操作型系统和决策型系统。,操作型系统 决策性系统,10,物流|信息系统|按|系统|功能|性质|分类|：|分为|操作型|系统|和|决策型|系统|。,n|n|p|n|n|n|vn|w|v|a|n|c|a|n|w|w,操作型|系统| |决策性|系统,a|n|w|n|n|w
呆废货品率：用来测定配送中心货品损耗影响资金积压的状况。,测定 配送中心 货品损耗 影响 资金积压 状况,10,呆|废货|品率|：|用来|测定|配送|中心|货品|损耗|影响|资金|积压|的|状况|。,v|n|n|w|v|v|vn|n|n|vn|v|n|vn|u|n|w|w,测定| |配送|中心| |货品|损耗| |影响| |资金|积压| |状况,v|w|vn|n|w|n|vn|w|vn|w|n|vn|w|n|w
在库作业准备包括四个部分：查验进货账卡，熟悉物品特性，制定物品储存方法，做好储存准备工作。,查验进货账卡 熟悉物品特性 制定物品储存方法 做好储存准备工作,10,在|库|作业|准备|包括|四个|部分|：|查验|进货账卡|，|熟悉|物品|特性|，|制定|物品|储存|方法|，|做好|储存|准备|工作|。,p|n|n|v|v|m|n|w|v|nz|w|v|n|n|w|v|n|vn|n|w|v|vn|vn|n|w|w,查验|进货账卡| |熟悉|物品|特性| |制定|物品|储存|方法| |做好|储存|准备|工作,v|nz|w|v|n|n|w|v|n|vn|n|w|v|vn|vn|n|w
接运卸货一共分为以下情况：场站接货、专用线接车、仓库自行接货、库内接货。,场站接货 专用线接车 仓库自行接货 库内接货,10,接|运|卸货|一共|分为|以下|情况|：|场站|接货|、|专用线|接|车|、|仓库|自行|接货|、|库|内|接货|。,v|v|v|d|v|f|n|w|n|v|w|n|v|n|w|n|d|v|w|n|f|v|w|w,场站|接货| |专用线|接|车| |仓库|自行|接货| |库|内|接货,n|v|w|n|v|n|w|n|d|v|w|n|f|v|w
GPS在物流运作中的应用：车辆跟踪、提供出行路线规划和导航、信息查询  、话务指挥 、紧急援助 。,车辆跟踪 提供出行路线规划和导航 信息查询 话务指挥 紧急援助,10,GPS|在|物流|运作|中|的|应用|：|车辆|跟踪|、|提供|出行|路线|规划|和|导航|、|信息|查询| | |、|话务|指挥| |、|紧急|援助| |。,n|p|n|vn|f|u|vn|w|n|v|w|v|vn|n|vn|c|vn|w|n|vn|w|w|w|n|vn|w|w|a|vn|w|w|w,车辆|跟踪| |提供|出行|路线|规划|和|导航| |信息|查询| |话务|指挥| |紧急|援助,n|v|w|v|vn|n|vn|c|vn|w|n|vn|w|n|vn|w|a|vn|w
安排车辆时应该考虑以下因素：车辆品牌的选择； 车辆吨位的选择 ；车辆容积的选择 ；车况的选择 ； 车辆货箱形式的选择 ;；综合因素的考虑,车辆品牌的选择 车辆吨位的选择 车辆容积的选择 车况的选择 车辆货箱形式的选择 综合因素的考虑,10,安排|车辆|时|应该|考虑|以下|因素|：|车辆|品牌|的|选择|；| |车辆|吨位|的|选择| |；|车辆|容积|的|选择| |；|车况|的|选择| |；| |车辆|货箱|形式|的|选择| |;|；|综合|因素|的|考虑,v|n|n|v|v|f|n|w|n|n|u|vn|w|w|n|n|u|vn|w|w|n|n|u|vn|w|w|n|u|vn|w|w|w|n|n|n|u|vn|w|w|w|vn|n|u|vn|w,车辆|品牌|的|选择| |车辆|吨位|的|选择| |车辆|容积|的|选择| |车况|的|选择| |车辆|货箱|形式|的|选择| |综合|因素|的|考虑,n|n|u|vn|w|n|n|u|vn|w|n|n|u|vn|w|n|u|vn|w|n|n|n|u|vn|w|vn|n|u|vn|w
轴荷也称轴负荷、轴载质量，就是车轴所承受的载荷，也即汽车各轴对地面的垂直荷载。,车轴 承受 载荷,10,轴荷|也|称|轴|负荷|、|轴|载|质量|，|就是|车轴|所|承受|的|载荷|，|也|即|汽车|各|轴|对|地面|的|垂直荷载|。,nz|d|v|n|n|w|n|v|n|w|v|n|u|v|u|n|w|d|v|n|r|n|p|n|u|nz|w|w,车轴| |承受| |载荷,n|w|v|w|n|w
成组堆码：指采用成组工具现将物品组成一组、使其堆存单元扩大，从而可以用装卸机械成组搬运、装卸。,成组工具 物品 组成一组 堆存单元 扩大 装卸机械 成组 搬运 装卸,10,成|组|堆码|：|指|采用|成|组|工具|现|将|物品|组成|一组|、|使|其|堆存|单元|扩大|，|从而|可以|用|装卸|机械|成|组|搬运|、|装卸|。,v|n|n|w|v|v|v|n|n|t|p|n|v|m|w|v|r|v|n|v|w|c|v|p|vn|n|v|n|v|w|v|w|w,成|组|工具| |物品| |组成|一组| |堆存|单元| |扩大| |装卸|机械| |成|组| |搬运| |装卸,v|n|n|w|n|w|v|m|w|vn|n|w|v|w|vn|n|w|v|n|w|v|w|vn|w
转运中心的主要工作是承担物品在不同运输方式之间的转运。,承担 物品 不同运输方式 转运,10,转运|中心|的|主要|工作|是|承担|物品|在|不同|运输|方式|之间|的|转运|。,vn|n|u|a|n|v|v|n|p|a|vn|n|f|u|vn|w|w,承担| |物品| |不同|运输|方式| |转运,v|w|n|w|a|vn|n|w|vn|w
承诺的撤回指承诺人阻止承诺发生法律效力的一种意思表示。,承诺人 阻止 承诺发生法律效力 意思表示,10,承诺|的|撤回|指|承诺人|阻止|承诺|发生|法律|效力|的|一种|意思|表示|。,v|u|vn|v|n|v|vn|v|n|n|u|m|n|v|w|w,承诺人| |阻止| |承诺|发生|法律|效力| |意思|表示,n|w|v|w|v|v|n|n|w|n|v|w
运输合同是承运人将旅客或货物从起运点运输到约定地点，旅客、托运人或者收货人支付票款或者运输费用的合同。,承运人 旅客 货物 起运点 运输 约定地点 旅客 托运人 收货人 支付票款 运输费用,10,运输|合同|是|承运人|将|旅客|或|货物|从|起运点运输|到|约定|地点|，|旅客|、|托运|人|或者|收货|人|支付|票款|或者|运输|费用|的|合同|。,vn|n|v|n|p|n|c|n|p|nz|v|vn|n|w|n|w|vn|n|c|n|n|v|n|c|vn|n|u|n|w|w,承运人| |旅客| |货物| |起|运点| |运输| |约定|地点| |旅客| |托运|人| |收|货人| |支付|票款| |运输|费用,n|w|n|w|n|w|v|n|w|vn|w|vn|n|w|n|w|vn|n|w|v|n|w|v|n|w|vn|n|w
运输合同的主体：承运人；旅客；托运人；收货人。,承运人 旅客 托运人 收货人,10,运输|合同|的|主体|：|承运人|；|旅客|；|托运|人|；|收|货人|。,vn|n|u|n|w|n|w|n|w|vn|n|w|v|n|w|w,承运人| |旅客| |托运|人| |收|货人,n|w|n|w|vn|n|w|v|n|w
出库作业流程包括以下作业环节：出库凭证审核、出库准备、出库验收、出库点交与销账、装载上车、发运、清理等。 ,出库凭证审核 出库准备 出库验收 出库点交与销账 装载上车 发运 清理,10,出库|作业|流程|包括|以下|作业|环节|：|出库|凭证|审核|、|出库|准备|、|出库|验收|、|出库|点交|与|销账|、|装载|上车|、|发运|、|清理|等|。| ,v|vn|n|v|f|vn|n|w|vn|n|vn|w|v|v|w|vn|vn|w|v|v|c|vn|w|v|v|w|vn|w|vn|u|w|w|w,出库|凭证|审核| |出库|准备| |出库|验收| |出库|点交|与|销账| |装载|上车| |发运| |清理,vn|n|vn|w|v|v|w|vn|vn|w|v|v|c|vn|w|v|v|w|vn|w|vn|w
储调中心以储备为主要工作内容，其功能与传统仓库基本一致。,储备 功能 传统仓库 基本一致,10,储调中心|以|储备|为|主要|工作|内容|，|其|功能|与|传统|仓库|基本|一致|。,ORG|p|vn|v|a|n|n|w|r|n|c|a|n|d|a|w|w,储备| |功能| |传统|仓库| |基本|一致,vn|w|n|w|a|n|w|d|a|w
根据仓库的主要功能不同可分为：储备库和物流库。,储备库 物流库,10,根据|仓库|的|主要|功能|不同|可|分为|：|储备|库|和|物流|库|。,p|n|u|a|n|a|v|v|w|vn|n|c|n|n|w|w,储备|库| |物流|库,vn|n|w|n|n|w
现代信息技术主要包括：传感技术、计算机技术、通信技术、网络技术。,传感技术 计算机技术 通信技术 网络技术,10,现代|信息技术|主要|包括|：|传感|技术|、|计算机|技术|、|通信|技术|、|网络|技术|。,t|n|ad|v|w|vn|n|w|n|n|w|vn|n|w|n|n|w|w,传感|技术| |计算机|技术| |通信|技术| |网络|技术,vn|n|w|n|n|w|vn|n|w|n|n|w
库存是指储存作为今后按预定的目的使用而处于闲置或非生产状态的物品。,存储 按预定的目的使用 处于闲置 非生产状态 物品,10,库存|是|指|储存|作为|今后|按|预定|的|目的|使用|而|处于|闲置|或|非|生产|状态|的|物品|。,n|v|v|vn|v|t|p|vn|u|n|v|c|v|v|c|v|vn|n|u|n|w|w,存储| |按|预定|的|目的|使用| |处于|闲置| |非|生产|状态| |物品,vn|w|p|vn|u|n|v|w|v|vn|w|v|vn|n|w|n|w
储备库主要的功能是储存和保管物资，这也是仓库的最传统、最基本的功能。,存储 保管物资 仓库 传统 基本 功能,10,储备|库|主要|的|功能|是|储存|和|保管|物资|，|这|也是|仓库|的|最|传统|、|最|基本|的|功能|。,vn|n|a|u|n|v|v|c|vn|n|w|r|v|n|u|d|a|w|d|a|u|n|w|w,存储| |保管|物资| |仓库| |传统| |基本| |功能,vn|w|v|n|w|n|w|n|w|a|w|n|w
专用型保税仓库：保税仓库中专门用来存储具有特定用途或特殊种类商品的仓库。,存储 特定用途 特殊种类 商品 仓库,10,专用型|保税仓库|：|保税仓库|中专|门|用来|存储|具有|特定|用途|或|特殊|种类|商品|的|仓库|。,a|nz|w|nz|n|n|v|v|v|a|n|c|a|n|n|u|n|w|w,存储| |特定|用途| |特殊|种类| |商品| |仓库,vn|w|a|n|w|a|n|w|n|w|n|w
缺货成本指因存货不足而造成的损失。若不容许缺货，则缺货成本为零。,存货不足 损失 不容许缺货 取货成本为零,10,缺|货|成本|指|因|存货|不足|而|造成|的|损失|。|若|不|容许|缺货|，|则|缺|货|成本|为|零|。,v|n|n|v|p|n|a|c|v|u|n|w|c|d|v|vn|w|c|v|n|n|v|m|w|w,存货|不足| |损失| |不容许|缺货| |取货|成本|为|零,n|a|w|n|w|v|vn|w|vn|n|v|m|w
入库作业计划是存货人发货和仓库部门入库前准备的依据。,存货人发货 仓库部门 入库前准备 依据,10,入库|作业|计划|是|存货|人|发货|和|仓库|部门|入库|前|准备|的|依据|。,vn|vn|n|v|n|n|v|c|n|n|v|f|v|u|n|w|w,存货|人|发货| |仓库|部门| |入库|前|准备| |依据,n|n|v|w|n|n|w|v|f|v|w|n|w
入库申请的流程是存货人提出申请，仓储企业做出评估，拒绝则不予收货，接受则通知存货人并制定入库计划。,存货人提出申请 仓储企业作出评估 拒绝则不予收货 接受则通知存货人并制定入库计划,10,入库|申请|的|流程|是|存货人|提出|申请|，|仓储|企业|做出|评估|，|拒绝|则|不予|收|货|，|接受|则|通知|存货|人|并|制定|入库|计划|。,vn|vn|u|n|v|n|v|vn|w|vn|n|v|vn|w|v|d|v|v|n|w|v|c|v|n|n|c|v|vn|n|w|w,存货|人|提出|申请| |仓储|企业|作出|评估| |拒绝|则|不予|收|货| |接受|则|通知|存货|人|并|制定|入库|计划,n|n|v|vn|w|vn|n|v|vn|w|v|d|v|v|n|w|v|c|v|n|n|c|v|vn|n|w
将大批量运到的物品分成批量较小的物品称为分货。,大批量 物品 批量较小 ,10,将|大批量|运|到|的|物品|分成|批量|较小|的|物品|称为|分|货|。,p|n|v|v|u|n|v|n|a|u|n|v|v|n|w|w,大批量| |物品| |批量|较小| ,n|w|n|w|n|a|w|w
