ERP的功能模块：供应链管理、销售与市场、分销、客户服务、财务管理、制造管理、库存管理、工厂与设备维护、人力资源、报表、制造执行系统、工作流服务和企业信息系统等。此外，还包括金融投资管理、质量管理、运输管理、项目管理、法规与标准和过程控制等补充功能。,供应链管理 销售与市场 分销 客户服务 财务管理 制造管理 库存管理 工厂设备维护 人力资源 报表 制造执行系统 工作流服务 企业信息系统 金融投资管理 质量管理 运输管理 项目管理 法规与标准 过程控制
入库作业管理包括：收货；组盘和注册；上架,收货 组盘 注册 上架
WCS 是仓库控制系统(Warehouse Control System) 的缩写。WCS是介于WMS系统和PLC系统之间的一层管理控制系统。,仓库控制系统 WMS系统 PLC系统 管理控制系统
出库作业管理包括：波次运算；补货；拣选；复核包装；集货；发货,波次运算 补货 拣选 复核包装 集货 发货
仓储管理系统中基础数据管理包括以下内容：用户数据；部门数据；货位数据；客户主数据；物流主数据；订单类数据；其他数据,用户 部门 货位 客户主 物流主 订单类 其他
条码：是由一组规则排列的条、空及其对应代码组成，是表示商品特定信息的标识。 ,规则排列 条 空 代码 商品 特定信息 标识
条形码的识读原理：根据不同颜色的物体，其反射的可见光的波长不同，光电转换器接收到不同强弱的反射光信号，并转换成相应的电信号并进行放大后输出。,不同颜色 物体 可见光 波长不 光电转换器 反射光信号 电信号 放大 输出
条码的类别 ：商品条码、物流条码、二维条码。,商品条码 物流条码 二维条码
无线射频识别（RFID）是通过一种无线电讯号和微芯片标签识别特定目标并读写相关数据的通讯技术。,无线电讯号 微芯片 标签识别 读写 相关数据 通讯技术
RFID的特点：非接触识别，它能穿透雪、雾、冰、涂料、尘垢、高速运动的物体和条形码无法使用的恶劣环境阅读标签，并且阅读速度极快；保密性强。,非接触识别 雪 雾 冰 物体 条形码 恶劣环境 阅读标签 速度快 保密性强
RFID的组成：标签、阅读器和天线。,标签 阅读器 天线
子标签拣选系统（DPS），是以一连串装于货架格位上的电子显示装置(电子标签)取代拣货单，指示应拣取的物品及数量，辅助捡货人员的作业，减少目视寻找的时间。,货架格位 电子显示装置 取代拣货单 物品 数量 捡货人员 减少 寻找时间
DBMS是一种操作和管理数据库的大型软件，可用于建立、使用和维护数据库。物流系统中的库存、货位、入出库记录等重要数据都是通过DBMS管理的。,操作 管理数据库 大型软件 建立 使用 维护数据库 物流系统 库存 货位 入出库记录 重要数据 DBMS管理
